id,pdes,spkid,full_name,name,albedo,pha,H,spec_B,spec_T,e,a,i,om,w,ma,epoch_mjd,GM
bK15D54C,"2015 DC54",3711170,"       (2015 DC54)",,,N,26.1,,,.4865210067944112,1.912111970745579,4.698204911107557,144.9171749715422,341.8454589965564,216.4917664415101,58600,
bK15D54D,"2015 DD54",3711171,"       (2015 DD54)",,,N,25.4,,,.4929974682160249,1.957857850020388,.950358345114337,349.3312288554428,178.9620021869325,184.1478105713011,58600,
bK15D54E,"2015 DE54",3711172,"       (2015 DE54)",,,N,24.4,,,.8004131324609138,2.147167907801318,6.837014383269166,143.426746620158,254.6310250248051,16.99559460725418,57074,
bK15DF5C,"2015 DC155",3711173,"       (2015 DC155)",,,N,25.4,,,.4060888328599734,1.452660668351442,7.994360080190964,150.6986874841158,293.6670813921203,31.21601576051069,57077,
bK15DF5D,"2015 DD155",3711174,"       (2015 DD155)",,,N,21.9,,,.05235620099096381,1.290576265811591,5.671301646066616,14.5118435801717,25.97829387823388,54.43875409177663,58600,
bK15DF5H,"2015 DH155",3711779,"       (2015 DH155)",,,Y,20.9,,,.70024713914828,2.445193511059161,12.48016959428761,169.9937212121684,261.9699196639681,49.72606661049501,58600,
bK15DF5J,"2015 DJ155",3711778,"       (2015 DJ155)",,,N,23.9,,,.4819832638316162,1.839122968091854,4.447580993871526,328.4458694940276,126.6123638686214,260.8028943059127,58600,
bK15DF5K,"2015 DK155",3711780,"       (2015 DK155)",,,N,23.8,,,.4677636248776029,1.421938719476088,10.38383680511757,334.2471887231043,260.5955358605428,324.2600559649857,57075,
bK15DF5L,"2015 DL155",3711781,"       (2015 DL155)",,,N,24.4,,,.2944613188311895,1.411398631713079,20.60126653316954,147.3965023650822,295.5496540268722,217.1952308543607,58600,
bK15DF5M,"2015 DM155",3711782,"       (2015 DM155)",,,N,25.7,,,.4633590694670663,1.721102780662902,6.614577350306152,149.6010220657751,314.2801540513973,16.67400970550876,57074,
bK15DF5N,"2015 DN155",3711783,"       (2015 DN155)",,,N,23.9,,,.5282030991531752,2.334949492992077,8.89721377482628,342.4631045747683,160.8663574156838,64.17045104829172,58600,
bK15DF5O,"2015 DO155",3711784,"       (2015 DO155)",,,N,21.5,,,.4253898405633412,1.729850468586907,9.314014211038408,151.3385712976824,83.94004648983636,268.0672467581119,58600,
bK15DF5P,"2015 DP155",3711785,"       (2015 DP155)",,,Y,21.5,,,.2236140659924722,1.31582048394624,5.440598163687781,89.15285841918812,152.1468550082548,220.6722063851113,58600,
bK15DF5Z,"2015 DZ155",3712031,"       (2015 DZ155)",,,N,24.4,,,.3410664361621002,.978010834029568,14.12039365852082,325.9583900885827,301.6485336378796,34.98674451301144,58600,
bK15DF6A,"2015 DA156",3712032,"       (2015 DA156)",,,N,22.2,,,.6082154016077556,1.697470240294429,34.49195392981341,148.9929935327167,253.7619923895173,34.65453920320408,57076,
bK15DF6B,"2015 DB156",3712033,"       (2015 DB156)",,,N,24.9,,,.2897936120016645,.9234384065839745,25.43100880601823,149.4104980310856,220.7047861522195,119.949331482338,57077,
bK15DH6E,"2015 DE176",3712034,"       (2015 DE176)",,,N,19.7,,,.5642330243448765,2.007256060737989,10.27235791424678,69.18193302268634,178.334381583417,137.0825844419502,58600,
bK15DI0U,"2015 DU180",3712420,"       (2015 DU180)",,,Y,20.8,,,.921929259246864,1.926142328828759,4.852823805224391,51.83918425391397,315.3261800058735,223.3418042947901,58600,
bK15DI0V,"2015 DV180",3712419,"       (2015 DV180)",,,N,19.5,,,.418166361280762,1.962440390135605,31.82043451252025,303.1556092723301,292.1780611912488,143.3183543625297,58600,
bK15DI0W,"2015 DW180",3712421,"       (2015 DW180)",,,N,21.3,,,.3649485585324468,1.757832331091989,11.26302140969955,20.23275560379857,64.29087413346413,325.4646682919213,58600,
bK15DI0X,"2015 DX180",3712422,"       (2015 DX180)",,,N,23.7,,,.2375392104538108,1.516418267097419,20.3056421611101,322.5420379966024,182.9004103385079,1.041236222372557,57073,
bK15DI0Y,"2015 DY180",3712423,"       (2015 DY180)",,,N,23.6,,,.2338312417277245,1.619176955774921,10.15297238276351,332.8192893475059,193.1924366964392,1.171170184836125,58600,
